artists,name,year,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,genres
Red Hot Chili Peppers,Scar Tissue,1999,76,0.0779,0.595,0.7170000000000001,0.00274,0.10800000000000001,-4.803,0.0295,0.547,88.969,215907,alternative rock funk metal funk rock permanent wave rock
Sublime,Santeria,1996,76,0.0268,0.682,0.765,3.4200000000000005e-05,0.188,-5.021,0.0395,0.5670000000000001,90.807,182747,reggae fusion ska mexicano ska punk
The Notorious B I G,Hypnotize - 2014 Remaster,1997,76,0.145,0.9009999999999999,0.6970000000000001,0.0,0.287,-3.4389999999999996,0.28,0.67,93.941,229827,east coast hip hop gangster rap hardcore hip hop hip hop rap
The Cranberries,Linger,1993,75,0.0783,0.439,0.434,4.870000000000001e-05,0.14,-14.918,0.0265,0.204,94.845,274707,irish rock pop rock
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",1997,75,0.732,0.428,0.276,5.33e-06,0.11699999999999999,-11.729000000000001,0.0312,0.0382,99.195,280000,canadian pop dance pop
Shania Twain,You're Still The One,1997,75,0.363,0.585,0.494,0.0,0.0886,-8.751,0.0353,0.634,133.822,212200,canadian country canadian pop country country dawn dance pop
George Michael,Careless Whisper,1998,75,0.128,0.574,0.629,0.0,0.271,-8.815,0.0363,0.7859999999999999,153.119,300107,dance rock new wave pop soft rock
Third Eye Blind,Semi-Charmed Life,1997,75,0.008320000000000001,0.64,0.8640000000000001,0.0,0.12300000000000001,-6.5760000000000005,0.0315,0.7,102.02600000000001,268360,alternative rock neo mellow pop rock post-grunge rock
Green Day,Good Riddance (Time of Your Life),1997,75,0.183,0.475,0.4320000000000001,0.0,0.161,-7.8439999999999985,0.0302,0.648,94.605,153467,permanent wave pop punk punk
The Notorious B I G,Big Poppa - 2005 Remaster,1994,75,0.4320000000000001,0.778,0.578,0.0,0.138,-7.22,0.27399999999999997,0.758,84.48700000000002,252747,east coast hip hop gangster rap hardcore hip hop hip hop rap
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1998,75,0.165,0.38299999999999995,0.662,0.0,0.248,-5.162000000000001,0.0333,0.138,121.154,298760,album rock classic rock hard rock rock
Fugees,Killing Me Softly With His Song,1996,75,0.0279,0.765,0.29,1.02e-06,0.5710000000000001,-17.117,0.139,0.506,92.40899999999999,298773,east coast hip hop gangster rap hip hop new jersey rap rap
Pearl Jam,Even Flow,1991,75,0.0017800000000000001,0.39399999999999996,0.9440000000000001,4.54e-06,0.298,-6.506,0.0761,0.265,105.338,292581,alternative rock grunge permanent wave rock
The Smashing Pumpkins,1979 - Remastered 2012,1995,75,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,0.9640000000000001,126.87899999999999,266200,alternative metal alternative rock grunge modern rock permanent wave pop rock rock
Stevie Wonder,I Just Called To Say I Love You,1999,75,0.243,0.748,0.551,1.57e-06,0.0943,-9.054,0.0239,0.65,113.535,262240,funk motown quiet storm soul
Pearl Jam,Alive,1991,75,0.0075200000000000015,0.284,0.875,0.00046100000000000004,0.402,-6.069,0.0422,0.595,75.009,340907,alternative rock grunge permanent wave rock
Bon Jovi,Always,1994,75,0.11699999999999999,0.38299999999999995,0.659,0.0,0.0778,-5.558,0.0312,0.327,140.795,353027,glam metal rock
blink 182,What's My Age Again?,1999,75,0.0126,0.391,0.951,0.00037799999999999997,0.0878,-7.419,0.0692,0.46799999999999997,157.66,148360,pop punk punk socal pop punk
Dr Dre Snoop Dogg,The Next Episode,1999,75,0.0281,0.922,0.909,0.0,0.0856,-2.4290000000000003,0.27,0.309,95.295,161507,g funk gangster rap hip hop rap west coast rap
Incubus,Drive,1999,74,0.0562,0.645,0.792,0.0121,0.11900000000000001,-7.34,0.036000000000000004,0.6659999999999999,90.565,232453,alternative metal alternative rock funk metal funk rock modern rock nu metal pop rock post-grunge rock
Savage Garden,Truly Madly Deeply,1997,74,0.40299999999999997,0.555,0.698,0.0,0.0851,-8.874,0.0287,0.816,168.12,277267,australian pop boy band dance pop europop pop rock
Los Enanitos Verdes,Lamento Boliviano,1994,74,0.17600000000000002,0.7140000000000001,0.735,0.0006219999999999999,0.115,-7.125,0.0306,0.68,123.57,222227,argentine rock latin latin alternative latin pop latin rock mexican pop rock en espanol ska argentino
Radiohead,Karma Police,1997,74,0.0626,0.36,0.505,9.22e-05,0.172,-9.129,0.026000000000000002,0.317,74.807,264067,alternative rock art rock melancholia oxford indie permanent wave rock
Blur,Song 2 - 2012 Remaster,1997,74,0.0017800000000000001,0.674,0.789,0.0071,0.0754,-6.903,0.0676,0.9179999999999999,129.804,121160,alternative rock britpop dance rock madchester modern rock permanent wave pop rock rock
House Of Pain,Jump Around,1992,74,0.0113,0.8540000000000001,0.71,8.72e-05,0.166,-6.32,0.0793,0.818,106.89399999999999,214947,gangster rap hardcore hip hop hip hop rap west coast rap
Mobb Deep,"Shook Ones, Pt. II",1995,74,0.0146,0.763,0.7859999999999999,0.0114,0.0817,-6.472,0.22899999999999998,0.504,93.85700000000001,325507,east coast hip hop gangster rap hardcore hip hop hip hop queens hip hop rap
Alejandro Sanz,Corazón partío,1997,74,0.19899999999999998,0.648,0.846,4.23e-06,0.0803,-6.731,0.0424,0.815,160.075,343413,cantautor latin latin arena pop latin pop mexican pop rock en espanol spanish pop
Dr Dre Eminem,Forgot About Dre,1999,74,0.0827,0.924,0.74,0.0,0.163,-1.2990000000000002,0.0774,0.621,133.974,222293,g funk gangster rap hip hop rap west coast rap
Foo Fighters,Learn to Fly,1999,74,1.83e-05,0.465,0.919,2.07e-05,0.262,-4.025,0.0408,0.537,135.997,235293,alternative metal alternative rock modern rock permanent wave post-grunge rock
R E M,Everybody Hurts,1992,74,0.615,0.467,0.324,0.0248,0.11800000000000001,-10.450999999999999,0.0255,0.166,94.301,320267,melodic rap rap trap
Guns N Roses,Don't Cry (Original),1991,74,0.00182,0.456,0.59,0.00379,0.10400000000000001,-8.638,0.0327,0.243,124.635,283733,glam metal hard rock rock
The Notorious B I G Mase Diddy,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1997,74,0.0128,0.845,0.884,2.1000000000000002e-06,0.203,-4.506,0.0759,0.904,104.536,257400,east coast hip hop gangster rap hardcore hip hop hip hop rap
Luniz Michael Marshall,I Got 5 On It,1995,74,0.209,0.6,0.706,0.0,0.125,-7.899,0.361,0.58,173.926,253533,g funk gangster rap hyphy oakland hip hop west coast rap
ChiChi Peralta,Procura,1997,74,0.27899999999999997,0.805,0.757,0.000839,0.10099999999999999,-7.46,0.0355,0.973,102.14,271031,dominican pop latin latin pop tropical
Warren G Nate Dogg,Regulate,1994,74,0.304,0.8490000000000001,0.521,1.65e-06,0.115,-12.999,0.21600000000000005,0.763,95.265,248867,g funk gangster rap hardcore hip hop hip hop rap west coast rap
Green Day,When I Come Around,1994,74,0.0175,0.531,0.909,0.0,0.231,-4.2360000000000015,0.034,0.8140000000000001,97.546,178000,permanent wave pop punk punk
Nirvana,Smells Like Teen Spirit,1991,74,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,0.72,116.76100000000001,301920,alternative rock grunge permanent wave rock
Pearl Jam,Black,1991,74,0.32299999999999995,0.36,0.684,0.0,0.34,-6.4570000000000025,0.0308,0.2,77.15,342653,alternative rock grunge permanent wave rock
Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",1996,74,0.314,0.614,0.466,0.0,0.099,-9.881,0.0327,0.17800000000000002,119.916,273667,canadian pop dance pop
New Radicals,You Get What You Give,1998,74,0.17,0.621,0.9009999999999999,0.0,0.0875,-5.396,0.0302,0.7440000000000001,113.96700000000001,300773,pop rock
Rage Against The Machine,Bulls On Parade,1996,74,0.0124,0.41200000000000003,0.919,0.0601,0.424,-7.291,0.184,0.5720000000000001,166.36700000000005,229467,alternative metal alternative rock conscious hip hop funk metal nu metal political hip hop rap metal rap rock rock
Blind Melon,No Rain,1992,74,0.619,0.389,0.47600000000000003,5.0900000000000004e-05,0.255,-9.342,0.0316,0.5660000000000001,148.11700000000005,217107,alternative metal alternative rock blues rock grunge pop rock rock
Ice Cube,It Was A Good Day,1992,74,0.33,0.7979999999999999,0.7440000000000001,0.000106,0.292,-5.327999999999999,0.136,0.794,82.35600000000002,260000,conscious hip hop g funk gangster rap hardcore hip hop hip hop rap west coast rap
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1998,74,0.172,0.39,0.649,0.0,0.21600000000000005,-5.162999999999999,0.0345,0.14400000000000002,121.16,299760,album rock classic rock hard rock rock
Fools Garden,Lemon Tree,1995,74,0.643,0.6629999999999999,0.475,0.0,0.122,-8.834,0.0417,0.644,143.175,191027,german pop rock
Nirvana,Heart-Shaped Box,1993,74,0.19899999999999998,0.256,0.6409999999999999,0.0329,0.0853,-10.283,0.0552,0.382,203.00599999999997,281160,alternative rock grunge permanent wave rock
Vengaboys,"Boom, Boom, Boom, Boom!!",1998,74,0.0108,0.8,0.894,0.4370000000000001,0.0285,-7.346,0.04,0.9670000000000001,138.48,201840,bubblegum dance dance pop eurodance europop pop dance
